cluster,e1,e2,e3,e4,e5
0,Adnan Hijazi,Newark,September 2004,"$ 48,000",Reston
1,February 2004,London,Nassau,FL,Nassau ..
2,La Mirada St.,Tampico,Mexico,Los Andes Hotel,Bogota
3,Moscow,Central Russia Airlines,Vector,Pyotr Safrygin,Russia
4,Abdul al Nami,Detroit Utilities Co.,Ontario,Windsor,Fenkell Ave.
5,November 2003,Hamas,Ayyash,Abu Ayyash,Doha
6,Montreal,Canada,April 2003,Abu Hafs,Mehdi Rafiki
7,Cesar Arze,1992,Santo Domingo,Central America,FARC
8,Muslih Odeh,Freeport,Freeport Star Hotel,September 2003,December 2004
9,Casablanca,Santo Domingo,Holland Orange Shipping Lines,Dominican Republic,October 2003
10,Bellaire,Texas,Shamrani,Khalid Shamrani,Houston
11,August 2004,Carrizo Springs,TX,Piedras Negras,Ali al-Omari
12,Saudi,Abdul Ahmed Nasser,Khost,February 2004,1999
13,Peshawar,Chitral,Badawi,Plasencia St.,Mamdouh al Hazmi
14,Panama City,Ramundo Ortiz,Panamico Ave,Panama,$ 250.00
15,Victoria,Guane,Cartagena,FARC,TX
16,U.S.,The Bahamas,Nassau,Muhammed Dandani,Miami
17,Dallas,Grand Prairie,Presidio,Arlington,Nami
18,Ojinaga,Calamar,Mexico,Paris,Escalante
