cluster,e1,e2,e3,e4,e5
0,TX,Texas,August 2004,Carrizo Springs,Mexico
1,Santo Domingo,Dominican Republic,Sufaat,Jose Escalante,Carlos Morales
2,Paris,Montreal,Buffalo,Canada,April 2003
3,Chitral,Peshawar,Plasencia St.,Casablanca,October
4,Ontario,Windsor,Marrakech,Ronald ] Derwish,Morocco
5,Russia,Moscow,January 2003,Vector,Mamdouh al Hazmi
6,Panama City,Ramundo Ortiz,Panamico Ave,Panama,Africa
7,Wali Shakur,September 2004,November 2004,Abu Ayyash,Doha
8,Bellaire,Texas,Shamrani,Khalid Shamrani,Houston
9,Bugarov,Boris Bugarov,Moscow,2002,1986
10,Atmani,Holland Orange,Abdellah Atmani,Caribbean,June 2003
11,Omar Blakely,Carolina First Bank,Charlotte,Rifai Qasim,October 2003
12,February 2004,Khost,Saudi,Saeed Hasham,Chitral
13,Riyadh,U.S.,Saudi Arabia,1999,Detroit Utilities Co.
14,December 2004,Freeport,Muslih Odeh,Freeport Star Hotel,Bahamas
15,Miami,Jamal al Shibh,FL,Miami Beach,February 2004
16,September 2004,Newark,Adnan Hijazi,A. H.,Central Russia Airlines
17,Mexico,Ojinaga,Los Andes Hotel,Bogota,La Mirada St.
18,Cairo,Ramses St.,Egypt,18 January 2004,5 December 2003
